MODL DM01AVBE11LV95D;MODL MD01MOBE11MN95F
TOPI FixpunkteKategorie1;TOPI Points_fixesCategorie1
TABL LFP1Nachfuehrung;TABL Mise_a_jourPFP1
TABL LFP1Nachfuehrung_Perimeter;TABL Mise_a_jourPFP1_Perimetre
TABL LFP1;TABL PFP1
TABL LFP1Pos;TABL PosPFP1
TABL LFP1Symbol;TABL SymbolePFP1
TABL HFP1Nachfuehrung;TABL Mise_a_jourPFA1
TABL HFP1Nachfuehrung_Perimeter;TABL Mise_a_jourPFA1_Perimetre
TABL HFP1;TABL PFA1
TABL HFP1Pos;TABL PosPFA1
TOPI FixpunkteKategorie2;TOPI Points_fixesCategorie2
TABL LFP2Nachfuehrung;TABL Mise_a_jourPFP2
TABL LFP2Nachfuehrung_Perimeter;TABL Mise_a_jourPFP2_Perimetre
TABL LFP2;TABL PFP2
TABL LFP2Pos;TABL PosPFP2
TABL LFP2Symbol;TABL SymbolePFP2
TABL HFP2Nachfuehrung;TABL Mise_a_jourPFA2
TABL HFP2Nachfuehrung_Perimeter;TABL Mise_a_jourPFA2_Perimetre
TABL HFP2;TABL PFA2
TABL HFP2Pos;TABL PosPFA2
TOPI FixpunkteKategorie3;TOPI Points_fixesCategorie3
TABL LFP3Nachfuehrung;TABL Mise_a_jourPFP3
TABL LFP3Nachfuehrung_Perimeter;TABL Mise_a_jourPFP3_Perimetre
TABL LFP3;TABL PFP3
TABL LFP3Pos;TABL PosPFP3
TABL LFP3Symbol;TABL SymbolePFP3
TABL Hilfsfixpunkt;TABL Point_fixe_auxiliaire
TABL HilfsfixpunktPos;TABL PosPoint_fixe_auxiliaire
TABL HilfsfixpunktSymbol;TABL SymbolePoint_fixe_auxil
TABL HFP3Nachfuehrung;TABL Mise_a_jourPFA3
TABL HFP3Nachfuehrung_Perimeter;TABL Mise_a_jourPFA3_Perimetre
TABL HFP3;TABL PFA3
TABL HFP3Pos;TABL PosPFA3
TOPI Bodenbedeckung;TOPI Couverture_du_sol
TABL BBNachfuehrung;TABL Mise_a_jourCS
TABL BBNachfuehrung_Perimeter;TABL Mise_a_jourCS_Perimetre
TABL ProjBoFlaeche;TABL SurfaceCSProj
TABL ProjBoFlaeche_Geometrie;TABL SurfaceCSProj_Geometrie
TABL ProjGebaeudenummer;TABL NumeroBatimentProj
TABL ProjGebaeudenummerPos;TABL PosNumeroBatimentProj
TABL ProjObjektname;TABL NomObjetProj
TABL ProjObjektnamePos;TABL PosNomObjetProj
TABL ProjObjektnamePosUP2;TABL PosNomObjetProjUP2
TABL ProjObjektnamePosUP5;TABL PosNomObjetProjUP5
TABL ProjBoFlaecheSymbol;TABL SymboleSurfaceCSProj
TABL BoFlaeche_Geometrie;TABL SurfaceCS_Geometrie
TABL BoFlaeche;TABL SurfaceCS
TABL Gebaeudenummer;TABL Numero_de_batiment
TABL GebaeudenummerPos;TABL PosNumero_de_batiment
TABL Objektname;TABL Nom_objet
TABL ObjektnamePos;TABL PosNom_objet
TABL ObjektnamePosUP2;TABL PosNom_objetUP2
TABL ObjektnamePosUP5;TABL PosNom_objetUP5
TABL BoFlaecheSymbol;TABL SymboleSurfaceCS
TABL BoFlaecheSymbolUP2;TABL SymboleSurfaceCSUP2
TABL BoFlaecheSymbolUP5;TABL SymboleSurfaceCSUP5
TABL Einzelpunkt;TABL Point_particulier
TABL EinzelpunktPos;TABL PosPoint_particulier
TOPI Einzelobjekte;TOPI Objets_divers
TABL EONachfuehrung;TABL Mise_a_jourOD
TABL EONachfuehrung_Perimeter;TABL Mise_a_jourOD_Perimetre
TABL Einzelobjekt;TABL Objet_divers
TABL Flaechenelement;TABL Element_surfacique
TABL Flaechenelement_Geometrie;TABL Element_surfacique_Geometrie
TABL FlaechenelementSymbol;TABL SymboleElement_surf
TABL FlaechenelementSymbolUP2;TABL SymboleElement_surfUP2
TABL FlaechenelementSymbolUP5;TABL SymboleElement_surfUP5
TABL Linienelement;TABL Element_lineaire
TABL LinienelementSymbol;TABL SymboleElement_lineaire
TABL LinienelementSymbolUP2;TABL SymboleElement_linUP2
TABL LinienelementSymbolUP5;TABL SymboleElement_linUP5
TABL Punktelement;TABL Element_ponctuel
TABL Objektname;TABL Nom_Objet
TABL ObjektnamePos;TABL PosNom_Objet
TABL ObjektnamePosUP2;TABL PosNom_ObjetUP2
TABL ObjektnamePosUP5;TABL PosNom_ObjetUP5
TABL Objektnummer;TABL Numero_Objet
TABL ObjektnummerPos;TABL PosNumero_Objet
TABL Einzelpunkt;TABL Point_particulier
TABL EinzelpunktPos;TABL PosPoint_particulier
TOPI Hoehen;TOPI Altimetrie
TABL HONachfuehrung;TABL Mise_a_jourAL
TABL HONachfuehrung_Perimeter;TABL Mise_a_jourAL_Perimetre
TABL Hoehenpunkt;TABL Point_cote
TABL HoehenpunktPos;TABL PosPoint_cote
TABL HoehenpunktPosUP2;TABL PosPoint_coteUP2
TABL HoehenpunktPosUP5;TABL PosPoint_coteUP5
TABL Gelaendekante;TABL Arete
TABL Aussparung;TABL Surface_vide
TABL Aussparung_Geometrie;TABL Surface_vide_Geometrie
TOPI Nomenklatur;TOPI Nomenclature
TABL NKNachfuehrung;TABL Mise_a_jourNO
TABL NKNachfuehrung_Perimeter;TABL Mise_a_jourNO_Perimetre
TABL Flurname_Geometrie;TABL Nom_local_Geometrie
TABL Flurname;TABL Nom_local
TABL FlurnamePos;TABL PosNom_local
TABL FlurnamePosUP2;TABL PosNom_localUP2
